                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0756,                0.70475,                 1.0147,                 1.0986,                0.77342,                0.98918,                0.82826,                0.76518,                0.89759,                0.60829,                 1.0437,                0.76875,                 0.9948,                  1.134,                0.92058,                 1.0062,             0.00074994,             0.00074994,             0.00074994
                     51,                  1.014,                0.72724,                0.95885,                 1.0451,                0.79158,                0.90806,                0.77622,                 0.6984,                  0.919,                0.63884,                 1.0721,                0.93614,                0.99053,                 1.1525,                0.94728,                 0.9761,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1299,                0.70256,                 1.0363,                 1.2477,                 0.7981,                 1.0315,                0.67151,                0.78103,                0.92023,                0.67118,                 1.0663,                  1.124,                0.99159,                 1.1279,                 0.9617,                0.99885,             0.00072164,             0.00072164,             0.00072164
                     53,                0.90055,                0.66559,                0.96039,                 1.0008,                0.58216,                0.94539,                0.67151,                0.78103,                0.92023,                0.67118,                 1.0663,                  1.124,                0.99159,                 1.1279,                 0.9617,                0.99885,              0.0007075,              0.0007075,              0.0007075
                     54,                0.95865,                 0.6603,                0.98068,                 1.0562,                0.60583,                 1.0013,                0.77283,                0.80217,                0.96281,                0.70411,                0.97999,                0.86109,                0.98258,                 1.0536,                0.77828,                0.98386,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.0191,                0.62854,                0.96904,                 1.1307,                 0.6374,                 0.9505,                0.86301,                0.84485,                0.96073,                0.69951,                 1.0366,                0.72368,                 1.0109,                 1.1207,                0.67823,                 1.0232,              0.0006792,              0.0006792,              0.0006792
                     56,                0.89669,                0.62393,                0.94863,                 0.9471,                0.50201,                 0.9365,                0.88845,                0.84441,                0.94659,                0.67861,                 1.0944,                0.79243,                 1.0416,                 1.1582,                0.69451,                 1.0322,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.0119,                0.70231,                 1.0106,                 1.0465,                0.71133,                 1.0332,                0.88845,                0.84441,                0.94659,                0.67861,                 1.0944,                0.79243,                 1.0416,                 1.1582,                0.69451,                 1.0322,             0.00065091,             0.00065091,             0.00065091
                     58,                0.90695,                0.61914,                0.95325,                 1.0275,                0.50077,                0.97028,                0.81138,                0.89338,                0.93463,                0.66858,                 1.0748,                0.80575,                 1.0128,                  1.133,                0.70985,                0.99952,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.0056,                0.62537,                0.96311,                 1.0377,                0.64806,                  0.979,                0.84297,                0.89641,                0.93912,                0.67535,                 1.0787,                0.75291,                 1.0021,                0.95706,                0.84662,                0.96561,             0.00062262,             0.00062262,             0.00062262
                     60,                0.99645,                0.66369,                0.99474,                  1.104,                 0.5622,                 1.0139,                0.72291,                0.90222,                0.91619,                 0.6789,                 1.0443,                 0.6721,                0.97694,                0.96931,                0.77384,                0.95772,             0.00060847,             0.00060847,             0.00060847
                     61,                0.93751,                0.63276,                0.97356,                 1.0424,                0.55185,                0.97319,                0.72291,                0.90222,                0.91619,                 0.6789,                 1.0443,                 0.6721,                0.97694,                0.96931,                0.77384,                0.95772,             0.00059432,             0.00059432,             0.00059432
                     62,                0.93125,                0.59067,                0.95029,                 1.0027,                0.52055,                0.94274,                0.71183,                0.89035,                0.90569,                 0.6758,                 1.0075,                0.66813,                0.99133,                 1.0161,                0.75929,                0.99078,             0.00058017,             0.00058017,             0.00058017
                     63,                0.95092,                0.62634,                 0.9869,                 0.9877,                0.64459,                0.97994,                0.78505,                0.85308,                0.92947,                0.67481,                 1.0004,                 0.6517,                0.99031,                 1.0307,                0.67855,                0.99995,             0.00056603,             0.00056603,             0.00056603
                     64,                0.90565,                 0.6199,                0.97829,                0.98159,                0.56518,                0.99524,                 0.8703,                0.82354,                0.94808,                0.69754,                0.99615,                0.66447,                0.98853,                 1.0079,                 0.6178,                0.97741,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.0158,                0.62436,                0.98778,                 1.0778,                0.60219,                0.97253,                 0.8703,                0.82354,                0.94808,                0.69754,                0.99615,                0.66447,                0.98853,                 1.0079,                 0.6178,                0.97741,             0.00053773,             0.00053773,             0.00053773
                     66,                0.97992,                0.64476,                0.97677,                0.94464,                0.74821,                 1.0129,                0.81754,                0.91428,                0.95384,                0.72412,                0.97132,                0.68085,                   0.99,                0.90969,                0.62826,                0.96082,             0.00052359,             0.00052359,             0.00052359
                     67,                0.96692,                0.69883,                0.98572,                0.99073,                0.66943,                0.99332,                 0.8428,                0.86896,                0.96113,                0.73306,                 0.9383,                 0.6757,                0.99114,                0.89833,                0.60577,                0.96912,             0.00050944,             0.00050944,             0.00050944
                     68,                0.99653,                0.63459,                0.96966,                 1.0541,                0.61923,                0.98991,                0.81302,                0.94926,                0.95535,                0.74764,                0.92957,                0.65163,                 1.0073,                 0.8852,                0.55954,                0.97418,             0.00049529,             0.00049529,             0.00049529
                     69,                0.92538,                0.62594,                 1.0009,                 0.9813,                0.63922,                0.99409,                0.81302,                0.94926,                0.95535,                0.74764,                0.92957,                0.65163,                 1.0073,                 0.8852,                0.55954,                0.97418,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.0438,                 0.6507,                 1.0047,                 1.1432,                0.63507,                 1.0314,                 0.8143,                0.92495,                 0.9562,                0.74841,                0.92789,                0.65911,                 1.0107,                0.92886,                0.56004,                0.97314,               0.000467,               0.000467,               0.000467
                     71,                 1.0602,                0.64516,                 1.0197,                 1.0419,                 0.6164,                  1.001,                0.84131,                0.88506,                0.97135,                0.75879,                0.93481,                0.64984,                0.99071,                0.94893,                0.52514,                0.95387,             0.00045285,             0.00045285,             0.00045285
                     72,                0.87639,                 0.5789,                0.98605,                 0.9405,                0.58042,                0.99811,                0.90868,                0.81797,                0.96138,                0.73646,                0.95578,                0.61792,                0.98948,                0.98818,                0.49421,                0.95514,              0.0004387,              0.0004387,              0.0004387
                     73,                0.92464,                0.57468,                0.95676,                 1.0036,                0.52746,                0.95817,                0.90868,                0.81797,                0.96138,                0.73646,                0.95578,                0.61792,                0.98948,                0.98818,                0.49421,                0.95514,             0.00042456,             0.00042456,             0.00042456
                     74,                0.88922,                0.56368,                0.96612,                0.95874,                0.49305,                0.98593,                0.90843,                0.93242,                 0.9786,                0.74782,                0.96223,                0.57742,                 0.9725,                 1.0055,                0.46519,                 0.9437,             0.00041041,             0.00041041,             0.00041041
                     75,                0.95888,                0.59249,                0.95852,                  1.034,                0.51124,                0.95439,                0.95672,                0.91176,                0.98227,                0.76095,                0.95344,                0.56142,                0.95177,                0.99231,                0.44512,                0.92524,             0.00039626,             0.00039626,             0.00039626
                     76,                0.88855,                0.56567,                0.95175,                0.99175,                0.45209,                0.95291,                 0.9315,                0.97122,                0.98408,                 0.7674,                  0.937,                0.56205,                0.94527,                0.93984,                0.47261,                0.93828,             0.00038211,             0.00038211,             0.00038211
                     77,                0.83658,                0.57453,                 0.9216,                0.87136,                0.66554,                0.92046,                 0.9315,                0.97122,                0.98408,                 0.7674,                  0.937,                0.56205,                0.94527,                0.93984,                0.47261,                0.93828,             0.00036797,             0.00036797,             0.00036797
                     78,                0.80438,                0.55982,                0.90369,                0.80932,                0.50998,                0.87774,                0.89634,                0.94722,                0.97922,                0.75058,                0.92951,                0.56011,                0.95134,                0.97727,                0.46766,                0.95305,             0.00035382,             0.00035382,             0.00035382
